Category;Title;Format;URL
SQL Server;Backup_and_Restore_of_SQL_Server_Databases;PDF;http://ligman.me/N1HEpM
SQL Server;Data_Science_with_Microsoft_SQL_Server_2016;PDF;http://ligman.me/2sVpUwk
SQL Server;Deeper_insights_across_data_with_SQL_Server_2016_–_Technical_White_Paper;PDF;http://ligman.me/2u8ao0i
SQL Server;Deploying_SQL_Server_2016_PowerPivot_and_Power_View_in_a_Multi-Tier_SharePoint_2016_Farm;DOC;http://ligman.me/2u7MT7t
SQL Server;Deploying_SQL_Server_2016_PowerPivot_and_Power_View_in_SharePoint_2016;DOC;http://ligman.me/2u89lNQ
SQL Server;Guide_to_Migrating_from_Oracle_to_SQL_Server_2014_and_Azure_SQL_Database;PDF;http://ligman.me/1ReR3Qq
SQL Server;Introducing_Microsoft_Azure™_HDInsight™;PDF ;http://ligman.me/1RWzIGZ
SQL Server;Introducing_Microsoft_Data_Warehouse_Fast_Track_for_SQL_Server_2016;PDF;http://ligman.me/2u2j5sf
SQL Server;Introducing_Microsoft_SQL_Server_2012;PDF ;http://ligman.me/1gfab07
SQL Server;Introducing_Microsoft_SQL_Server_2014;PDF ;http://ligman.me/1C7dU9J
SQL Server;Introducing_Microsoft_SQL_Server_2016_Mission-Critical_Applications_Deeper_Insights_Hyperscale_Cloud_Preview_2;PDF ;http://ligman.me/2u7ml6r
SQL Server;Introducing_Microsoft_SQL_Server_2016_Mission-Critical_Applications_Deeper_Insights_Hyperscale_Cloud_Preview_2_–_Mobile;PDF;http://ligman.me/2t2o340
SQL Server;Introducing_Microsoft_Technologies_for_Data_Storage_Movement_and_Transformation;DOC;http://ligman.me/2txRCxI
SQL Server;Introducing_Microsoft®_SQL_Server®_2008_R2;PDF ;http://ligman.me/1KyNJvs
SQL Server;Microsoft_SharePoint_Server_2016_Reviewer’s_Guide;PDF;http://ligman.me/29pcQFA
SQL Server;Microsoft_SQL_Server_2012_Tutorials_Analysis_Services_–_Data_Mining_Step-by-Step;PDF;http://ligman.me/N1J8A8
SQL Server;Microsoft_SQL_Server_2012_Tutorials_Analysis_Services_–_Multidimensional_Modeling_Step-by-Step;PDF;http://ligman.me/N1JfvI
SQL Server;Microsoft_SQL_Server_2012_Tutorials_Reporting_Services_Quick_Step-by-Step;PDF;http://ligman.me/16E6G9L
SQL Server;Microsoft_SQL_Server_2012_Tutorials_Writing_Transact-SQL-Statements;PDF;http://ligman.me/16dHXZ9
SQL Server;Microsoft_SQL_Server_2014_Licensing_Guide;PDF;http://ligman.me/1S1f34H
SQL Server;Microsoft_SQL_Server_2016_Licensing_Datasheet;PDF;http://ligman.me/2sFqolM
SQL Server;Microsoft_SQL_Server_2016_Licensing_Guide;PDF;http://ligman.me/2tEHwtq
SQL Server;Microsoft_SQL_Server_2016_Mission-Critical_Performance_Technical_White_Paper;PDF;http://ligman.me/2uGQTc7
SQL Server;Microsoft_SQL_Server_2016_New_Innovations;PDF;http://ligman.me/2u7TbUy
SQL Server;Microsoft_SQL_Server_2016_SP1_Editions;PDF;http://ligman.me/2tYmEzR
SQL Server;Microsoft_SQL_Server_In-Memory_OLTP_and_Columnstore_Feature_Comparison;PDF;http://ligman.me/2tYaW8d
SQL Server;RAP_as_a_Service_for_SQL_Server;PDF;http://ligman.me/2u2HKg6
SQL Server;SQLCAT’s_Guide_to_Relational_Engine;PDF;http://ligman.me/2tEHLVm
SQL Server;Xquery_Language_Reference;PDF;http://ligman.me/11IMDlh
Surface;Surface_Book_User_Guide;PDF;http://ligman.me/29i2CEe
Surface;Surface_Pro_4_User_Guide;PDF;http://ligman.me/29hofVk
System Center;Guide_to_Microsoft_System_Center_Management_Pack_for_SQL_Server_2016_Reporting_Services_(Native_Mode);DOC;http://ligman.me/2sVrwWU
System Center;Guide_to_System_Center_Management_Pack_for_Windows_Print_Server_2016;DOC;http://ligman.me/2u2uvvZ
System Center;Introducing_Microsoft_System_Center_2012_R2;PDF ;http://ligman.me/1dD6S0J
System Center;Microsoft_System_Center_Building_a_Virtualized_Network_Solution_Second_Edition;PDF ;http://ligman.me/2sUch05
System Center;Microsoft_System_Center_Data_Protection_for_the_Hybrid_Cloud;PDF ;http://ligman.me/1JDrhBp
System Center;Microsoft_System_Center_Deploying_Hyper-V_with_Software-Defined_Storage_&_Networking;PDF ;http://ligman.me/1C7okGv
System Center;Microsoft_System_Center_Extending_Operations_Manager_Reporting;PDF ;http://ligman.me/1KBVfnS
System Center;Microsoft_System_Center_Introduction_to_Microsoft_Automation_Solutions;PDF ;http://ligman.me/1IzHZA1
